Sample,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,Ch49,Ch54,Ch55,Ch56,Ch57,Ch58,Ch59,Ch60,Ch61,Ch62,Ch63,Ch64,Ch65,Ch66,Ch67,Ch68,Ch69,Ch70,Ch71,Ch72,Ch73,Ch74,Ch75,Ch76,Ch77,Ch78,Ch79,Ch80,Ch81,Ch82,Ch83,Ch84,Ch85,Ch86,Ch87,Ch88,Ch89,Ch90,Ch91,Ch92,Ch93,Ch94,Ch95,Ch96,Ch97,Ch104,Ch105,Ch106,Ch107,Ch108,Ch109,Ch110,Ch111,Ch112,Ch113,Ch114,Ch115,Ch116,Ch117,Ch118,Ch119,Ch120,Ch121,Ch122,Ch123,Ch124,Ch125,Ch126,Ch127,Ch128,Ch129,Ch130,Ch131,Ch132,Ch146
Reference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,37.84,37.63,41.26,36.39,35.19,35.66,37.95,40.26,43.11,47.01,54.39,66.19,69.05,67.48,66.38,67.35,61.05,60.32,62.82,58.39,62.24,60.74,64.54,58.77,59.02,55.14,58.62,60.24,55.66,65.50,57.57,38.78,29.49,26.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.50,33.04,47.03,47.31,47.10,42.76,41.20,42.02,43.52,44.82,44.69,45.95,48.94,52.27,51.25,53.40,51.81,45.56,37.89,31.90,28.52,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.20,31.56,36.95,32.58,34.90,32.95,38.03,35.01,37.94,46.82,48.32,44.77,35.76,28.00,27.42,29.54,29.88,27.50,29.33,28.00,28.42,29.84,32.98,27.77,26.75,0.00,0.00,0.00
Reference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.58,31.98,33.95,32.53,31.37,32.91,35.64,35.82,41.35,42.86,51.39,62.55,64.45,67.89,66.46,60.50,65.70,60.43,58.40,62.51,61.36,57.01,60.43,65.16,63.56,62.95,62.55,61.44,63.73,58.56,58.86,39.59,30.34,26.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,44.81,45.13,44.12,40.41,40.78,39.93,40.43,41.77,43.49,42.81,47.87,44.08,47.22,46.45,45.71,40.33,37.14,29.13,27.88,30.00,25.00,0.00,0.00,26.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.51,32.06,35.36,32.75,38.56,36.65,37.72,34.77,37.80,45.65,47.85,43.24,28.28,25.00,0.00,30.00,27.00,28.86,26.78,29.04,0.00,0.00,29.00,26.00,0.00,0.00,0.00,0.00
Reference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.44,39.15,37.76,38.59,33.00,34.67,32.83,34.00,36.88,42.81,45.18,53.11,68.80,65.84,66.63,70.89,63.50,62.77,67.61,59.73,63.80,59.59,62.26,61.24,63.89,61.57,60.75,60.60,55.85,58.18,61.87,60.36,43.29,27.81,22.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.42,48.15,47.05,46.57,41.76,40.39,41.93,41.01,42.24,42.37,43.39,47.97,50.00,50.30,49.66,51.77,43.54,42.65,32.98,27.55,0.00,0.00,25.00,0.00,0.00,26.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,29.62,34.44,32.38,34.62,32.92,33.97,41.37,33.40,37.31,47.37,44.06,46.56,31.60,27.75,29.02,29.00,26.50,27.22,28.13,28.44,25.92,27.94,29.75,29.33,0.00,28.25,0.00,0.00
Reference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.29,36.36,36.67,37.39,31.70,33.87,35.96,38.12,40.46,49.52,54.50,63.34,65.72,64.65,63.68,62.67,61.19,59.64,59.82,61.10,61.21,59.00,59.44,66.23,61.83,63.10,62.24,65.64,59.26,56.93,59.59,40.49,29.89,23.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,33.14,49.30,48.77,50.24,46.19,39.99,43.22,43.56,43.57,41.27,48.70,51.10,53.53,53.45,52.15,50.62,45.12,38.04,28.41,29.08,0.00,25.00,0.00,26.50,26.80,27.33,25.50,25.00,25.00,26.00,28.00,0.00,0.00,0.00,0.00,0.00,25.02,34.09,34.32,42.29,38.99,39.28,39.77,39.61,41.55,40.70,46.73,48.81,49.17,30.80,25.67,26.50,27.33,26.00,28.92,27.62,28.43,30.02,30.54,27.24,29.89,27.22,27.00,0.00,0.00
Reference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.37,31.49,32.86,30.69,30.94,32.21,32.28,37.19,40.04,45.58,49.80,71.68,66.85,71.32,70.68,66.50,64.49,63.59,64.22,65.91,64.32,62.11,63.10,64.21,68.20,64.47,66.77,63.27,64.84,67.05,65.07,40.85,31.58,24.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.30,46.32,46.13,45.97,41.66,40.64,40.17,41.38,44.74,45.62,45.05,45.17,49.59,48.67,51.10,52.27,39.16,34.95,31.45,27.00,25.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,29.50,0.00,0.00,0.00,0.00,21.78,29.80,30.87,39.16,37.47,41.21,39.53,36.92,36.93,39.90,47.61,46.85,46.76,26.09,26.00,0.00,0.00,0.00,28.50,0.00,0.00,27.00,29.00,28.00,29.50,0.00,0.00,0.00,0.00
Reference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.50,30.20,35.50,32.47,30.40,34.21,34.93,32.63,40.79,41.58,45.48,63.78,64.60,65.82,65.05,61.15,57.47,52.73,58.95,56.99,60.40,57.55,61.04,58.44,62.47,59.77,58.54,61.71,58.73,58.57,59.40,39.78,29.93,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.33,40.91,40.77,42.87,37.92,37.45,37.45,39.85,35.97,41.42,43.52,42.61,45.94,44.98,43.67,44.99,38.00,29.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.89,35.31,36.23,43.86,43.90,40.33,40.22,36.19,40.71,41.59,43.89,42.29,28.28,0.00,26.22,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zinc,27.41,32.40,35.09,35.23,25.74,0.00,0.00,0.00,26.00,26.22,36.59,51.05,47.15,51.74,48.68,52.20,48.99,53.87,60.13,62.56,68.74,81.96,125.08,123.32,125.82,127.20,126.44,126.44,128.53,125.25,123.85,127.84,125.79,123.95,125.14,125.36,127.69,127.79,129.59,124.08,126.85,124.17,83.42,60.83,46.84,33.50,25.61,0.00,0.00,25.67,29.39,28.38,27.92,27.88,28.58,34.67,40.11,53.06,61.93,62.23,62.67,59.40,57.02,56.57,60.53,58.24,60.33,63.57,66.14,72.71,67.06,68.09,69.24,58.56,46.57,35.15,29.14,0.00,0.00,0.00,26.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,38.61,58.78,70.07,84.04,79.19,76.67,86.01,78.20,71.36,71.32,65.88,66.05,68.12,38.91,33.24,31.93,36.45,33.71,33.68,34.01,33.01,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00
Zinc,30.08,34.81,39.98,43.82,29.92,28.24,25.00,0.00,27.04,33.69,39.99,55.75,51.62,58.00,51.91,55.42,56.33,57.33,63.05,71.00,72.25,72.82,120.04,117.09,117.97,118.42,123.12,118.50,123.31,118.50,125.07,121.10,116.95,119.56,118.97,119.08,124.40,118.02,121.05,119.48,116.04,118.13,87.41,76.53,65.03,43.82,27.06,25.11,26.72,32.26,39.20,35.67,33.16,34.53,29.85,38.63,47.45,60.80,70.05,72.67,72.14,63.08,62.81,61.55,62.49,58.13,65.58,71.98,75.02,76.13,75.91,76.99,75.08,70.48,59.55,46.74,43.35,33.73,32.39,35.58,35.88,38.31,33.98,31.69,34.72,37.39,34.34,32.84,33.50,33.18,30.60,25.00,29.89,44.63,64.44,81.25,90.04,90.55,89.04,93.35,89.72,85.75,73.55,68.00,73.65,69.47,46.96,38.99,40.74,39.89,36.66,38.94,34.11,30.20,0.00,0.00,0.00,28.00,0.00,0.00,0.00,25.00
Zinc,27.18,33.63,36.01,38.99,30.19,0.00,0.00,27.25,26.73,30.62,37.42,50.05,55.88,56.83,48.14,51.72,49.12,48.66,58.92,62.94,71.79,79.06,125.79,124.88,124.85,125.92,129.63,125.24,129.69,126.93,127.62,130.69,124.74,125.47,122.14,125.50,129.35,129.11,124.56,123.36,126.25,126.40,87.42,64.73,48.54,35.06,0.00,0.00,0.00,27.20,33.84,31.44,28.29,29.38,34.57,36.47,44.80,53.21,67.32,66.79,67.61,60.13,58.73,57.66,57.33,59.39,61.94,62.24,67.23,68.74,68.65,69.35,66.36,59.89,48.65,38.20,33.15,28.41,26.00,26.00,0.00,0.00,27.00,0.00,25.31,25.00,0.00,0.00,25.00,0.00,0.00,0.00,28.44,34.73,52.27,78.65,82.66,80.24,82.26,84.55,79.81,83.35,68.39,68.41,67.76,72.36,40.16,33.74,35.00,27.60,34.18,34.93,33.28,28.83,0.00,29.27,0.00,0.00,0.00,0.00,0.00,0.00
Zinc,30.75,28.45,35.45,39.45,25.27,0.00,0.00,0.00,26.00,27.22,36.85,44.67,47.38,45.75,44.76,49.79,49.55,46.93,52.90,61.24,65.68,76.26,118.07,119.35,120.78,120.52,120.30,119.03,122.85,124.90,126.84,124.61,124.05,123.09,127.63,125.33,120.26,126.22,124.04,123.70,126.78,122.36,87.47,65.79,49.60,32.30,26.90,0.00,0.00,27.42,33.46,27.45,31.39,27.51,31.88,33.45,41.98,51.81,55.85,63.05,63.98,57.63,58.71,57.92,55.64,57.52,54.62,64.58,64.74,68.73,66.38,64.42,66.89,55.65,44.66,38.93,30.79,26.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.50,0.00,0.00,0.00,0.00,29.76,35.04,61.35,77.83,73.27,84.06,86.52,80.87,80.68,79.07,71.46,64.81,70.81,69.37,37.20,33.71,32.79,28.75,30.00,24.88,24.75,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zinc,30.64,35.06,42.26,41.52,31.02,25.33,28.20,26.50,29.91,27.53,39.35,52.37,50.34,54.20,50.87,45.53,50.56,56.82,56.16,66.51,61.21,69.90,116.59,114.20,116.53,115.35,116.50,118.92,115.61,115.78,119.46,117.00,113.09,117.28,113.62,118.76,120.24,113.21,114.98,115.92,120.24,111.36,75.30,54.55,47.61,39.47,27.77,0.00,25.33,34.84,37.94,36.48,30.12,38.90,34.88,40.64,50.65,58.32,59.00,61.70,62.99,53.79,51.56,54.50,53.82,57.47,55.84,62.63,64.29,66.26,63.85,64.73,65.62,64.46,59.21,47.30,38.73,33.68,33.96,32.06,30.76,32.01,29.16,29.85,31.20,30.94,30.99,30.62,35.02,31.42,0.00,0.00,33.83,45.88,61.57,77.89,88.59,87.36,94.34,98.03,86.43,79.95,66.80,65.35,63.12,60.91,47.10,33.12,37.74,35.98,35.82,32.82,34.59,27.69,0.00,0.00,0.00,0.00,25.78,0.00,0.00,0.00
Zinc,27.93,33.72,38.27,41.97,33.22,27.16,27.00,28.25,28.60,33.59,44.10,56.38,56.89,59.38,55.26,51.08,56.91,55.97,60.34,67.56,76.26,82.22,119.06,120.67,120.87,126.15,125.57,122.56,121.69,122.42,125.42,121.02,123.75,123.80,121.45,119.40,120.58,122.92,122.30,119.44,124.55,117.07,85.66,67.31,50.93,34.03,27.88,25.00,0.00,33.05,36.10,34.43,34.10,32.95,35.80,39.03,46.03,58.62,69.78,72.65,71.44,67.20,62.03,63.30,69.39,67.28,70.72,73.60,68.06,73.31,70.70,70.70,72.35,60.46,53.23,42.18,33.56,27.25,27.17,26.50,27.50,25.50,27.43,26.00,26.00,29.50,28.00,0.00,30.00,27.33,0.00,0.00,0.00,38.77,61.29,72.54,78.59,79.85,82.13,81.97,81.56,80.43,78.18,72.90,72.90,72.10,49.16,39.36,42.67,42.37,39.81,40.03,39.81,34.54,28.81,26.88,0.00,29.81,26.63,28.00,0.00,0.00
Rhodamine,0.00,25.00,26.87,28.46,0.00,0.00,0.00,0.00,0.00,0.00,29.39,32.09,34.50,35.99,35.09,30.93,34.71,33.38,37.42,43.78,48.41,53.91,77.63,77.64,72.76,77.07,78.58,80.06,76.93,76.25,74.57,76.33,73.58,71.93,73.08,75.50,79.62,77.31,74.94,76.17,71.93,74.71,52.15,38.73,32.28,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,27.88,38.47,47.15,51.02,48.65,44.70,38.76,43.35,42.75,40.05,45.44,46.83,46.30,48.52,51.25,51.13,53.98,45.98,39.39,34.26,31.32,26.00,25.11,25.50,26.56,26.97,0.00,27.00,0.00,25.00,0.00,25.50,27.33,0.00,0.00,0.00,0.00,29.32,43.55,63.87,64.13,61.13,60.71,65.21,59.77,61.94,63.40,57.24,60.71,52.92,31.40,29.12,27.75,27.25,28.71,33.67,31.21,30.78,33.28,32.64,32.40,36.13,32.65,29.92,26.69,0.00
Rhodamine,0.00,0.00,25.94,29.05,0.00,0.00,0.00,0.00,0.00,0.00,32.58,33.00,38.13,33.25,33.82,37.22,37.88,37.99,43.51,44.68,52.06,63.20,85.08,85.95,83.22,84.59,80.14,82.69,78.96,76.67,75.14,76.52,78.83,77.75,74.53,79.01,74.56,76.82,74.61,75.03,73.04,75.59,52.40,40.81,18.55,21.00,0.00,0.00,0.00,0.00,26.48,0.00,0.00,0.00,0.00,26.94,29.27,41.60,50.50,57.73,52.28,49.36,49.00,48.31,48.84,49.22,49.03,53.16,56.17,54.38,54.86,55.63,53.57,48.05,41.41,34.02,30.13,28.59,27.76,27.24,27.00,0.00,27.25,0.00,25.00,0.00,25.00,28.00,25.00,0.00,0.00,0.00,0.00,32.41,47.62,54.81,57.58,60.32,59.59,61.53,62.28,59.74,63.56,58.60,63.97,55.47,39.49,30.19,33.71,30.97,34.45,28.52,28.94,29.26,29.16,30.00,31.88,28.90,27.88,29.44,0.00,0.00
