Sample,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,Ch49,Ch54,Ch55,Ch56,Ch57,Ch58,Ch59,Ch60,Ch61,Ch62,Ch63,Ch64,Ch65,Ch66,Ch67,Ch68,Ch69,Ch70,Ch71,Ch72,Ch73,Ch74,Ch75,Ch76,Ch77,Ch78,Ch79,Ch80,Ch81,Ch82,Ch83,Ch84,Ch85,Ch86,Ch87,Ch88,Ch89,Ch90,Ch91,Ch92,Ch93,Ch94,Ch95,Ch96,Ch97,Ch104,Ch105,Ch106,Ch107,Ch108,Ch109,Ch110,Ch111,Ch112,Ch113,Ch114,Ch115,Ch116,Ch117,Ch118,Ch119,Ch120,Ch121,Ch122,Ch123,Ch124,Ch125,Ch126,Ch127,Ch128,Ch129,Ch130,Ch131,Ch132,Ch146
Rhodamine,0.00,25.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.65,34.48,31.24,29.54,32.63,34.25,32.09,37.72,40.37,46.77,53.35,87.52,84.96,87.50,87.12,84.06,80.58,80.01,82.56,78.50,78.69,71.93,81.45,78.25,79.70,81.08,80.02,79.70,81.63,77.90,76.89,54.03,43.03,32.77,23.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.77,35.22,48.09,52.19,49.85,42.53,44.16,42.79,40.87,42.11,43.83,48.32,48.26,53.16,50.98,49.06,51.40,46.36,38.43,32.72,29.22,26.50,0.00,0.00,25.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.14,40.85,53.09,56.86,58.31,57.23,58.41,60.84,57.76,60.62,55.00,58.10,49.94,31.60,27.76,26.00,27.00,29.55,0.00,0.00,0.00,25.00,27.56,0.00,27.22,0.00,0.00,0.00,0.00
Rhodamine,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.24,32.32,31.58,32.02,30.93,31.02,33.14,33.61,41.56,43.18,51.96,77.61,76.25,77.71,78.36,78.57,71.98,72.52,75.20,70.17,69.71,64.73,67.36,66.69,67.41,68.37,76.19,67.06,75.44,72.88,68.39,54.82,37.68,28.61,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.05,34.83,48.89,49.05,48.02,45.27,41.83,41.50,43.47,41.65,45.72,41.78,44.86,46.04,45.61,45.62,45.61,36.19,31.98,26.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.52,41.94,50.83,56.66,62.39,57.81,55.21,59.15,54.88,53.14,53.31,53.28,50.41,31.77,26.00,0.00,26.02,0.00,27.22,25.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rhodamine,0.00,0.00,31.05,28.74,0.00,0.00,0.00,0.00,0.00,26.25,31.11,41.74,38.22,39.90,39.94,38.47,38.74,41.90,42.58,45.09,52.18,56.37,80.24,73.38,77.34,81.26,71.28,76.99,77.72,70.08,75.87,74.47,74.43,71.44,75.11,72.42,73.73,70.59,74.20,69.67,76.14,73.95,54.64,40.31,30.90,0.00,0.00,0.00,0.00,25.00,27.74,24.58,0.00,0.00,0.00,26.00,34.17,41.53,57.42,56.19,56.48,48.83,47.83,50.57,48.68,48.63,51.41,53.31,55.75,57.80,58.36,60.82,61.46,52.19,44.12,39.81,29.82,26.78,27.50,25.00,26.88,24.89,0.00,25.50,25.00,26.69,25.00,27.14,0.00,0.00,0.00,0.00,0.00,34.44,47.02,59.65,60.59,57.75,58.19,57.49,60.20,59.88,55.20,61.92,58.09,56.81,37.41,31.02,29.31,28.90,28.68,27.66,34.74,33.28,32.22,31.46,33.46,35.75,29.09,27.11,25.00,0.00
Rhodamine,0.00,26.27,27.83,29.34,25.56,0.00,0.00,0.00,26.89,28.62,31.85,35.45,37.02,36.11,30.17,33.71,33.71,34.72,41.12,44.41,46.31,55.16,81.81,81.75,81.26,81.08,78.54,72.79,76.73,71.72,73.52,76.76,70.22,72.75,68.50,72.43,73.93,73.90,76.98,72.62,74.56,76.70,58.16,41.52,28.51,26.09,0.00,0.00,0.00,25.00,28.06,28.01,28.00,24.92,0.00,29.02,35.89,44.43,49.84,54.87,51.29,44.47,44.63,44.20,43.50,46.31,45.26,47.53,47.76,53.86,53.06,55.98,53.05,47.24,39.07,36.78,30.95,28.01,28.91,0.00,26.25,26.86,25.00,27.50,28.90,25.56,26.11,30.46,29.40,0.00,0.00,0.00,26.00,35.97,59.59,69.01,70.61,74.56,71.43,72.99,70.31,68.95,63.72,58.27,64.49,59.53,39.65,31.66,33.95,26.76,30.00,28.00,29.96,29.08,29.12,27.15,29.87,25.00,25.50,0.00,0.00,0.00
Manganese,24.55,28.25,32.53,30.43,26.00,0.00,0.00,0.00,0.00,26.28,33.70,51.40,51.05,51.73,45.28,44.41,43.90,47.90,53.47,63.88,69.40,80.93,109.92,111.67,107.69,108.75,102.69,106.82,104.44,99.96,100.92,103.65,102.21,96.40,99.03,101.32,99.48,102.20,106.41,103.47,105.55,100.47,69.11,52.08,35.87,20.82,0.00,0.00,0.00,27.38,27.23,27.00,26.50,0.00,27.56,27.00,36.82,52.32,73.19,75.33,74.04,67.94,65.59,63.21,68.95,69.29,70.60,72.76,78.19,78.25,78.26,78.82,78.85,63.69,53.35,39.98,29.15,30.48,28.43,31.88,26.38,30.33,26.88,0.00,29.84,28.00,27.76,26.22,27.65,0.00,0.00,0.00,0.00,30.91,42.24,40.51,47.67,49.69,53.43,54.67,46.06,49.99,52.61,63.82,65.45,66.30,38.84,31.73,31.51,33.95,31.25,31.61,28.86,30.41,31.75,25.25,28.75,0.00,31.08,0.00,0.00,0.00
Manganese,0.00,31.71,36.73,34.27,25.92,0.00,0.00,0.00,27.00,30.85,37.05,47.33,49.55,47.96,45.46,44.93,45.09,50.17,54.23,59.74,66.75,74.29,103.72,106.33,107.43,108.85,107.94,111.74,108.47,100.91,114.12,106.22,107.98,106.98,104.35,109.38,111.72,109.60,109.18,104.76,106.66,107.30,78.88,56.01,45.22,35.63,24.50,0.00,0.00,28.48,32.08,32.07,28.49,29.20,29.24,35.47,47.51,60.31,75.93,74.58,75.71,69.79,65.66,69.10,70.60,69.75,73.02,73.45,80.47,81.40,80.57,80.20,82.15,70.36,56.11,43.90,36.00,32.13,30.45,29.99,30.01,30.65,29.52,29.90,30.55,30.35,30.82,30.83,30.93,30.27,0.00,0.00,0.00,31.60,39.79,52.86,57.79,60.20,59.80,60.31,54.87,60.79,53.92,67.32,61.00,57.52,35.55,27.07,29.08,26.87,27.02,29.05,28.17,26.18,0.00,29.00,0.00,26.00,27.00,0.00,0.00,0.00
Manganese,0.00,27.47,34.83,34.07,27.69,0.00,0.00,0.00,27.03,32.24,36.53,42.47,48.73,47.15,43.22,44.07,44.01,46.20,56.74,56.50,66.87,78.17,121.17,119.76,117.13,121.81,115.90,121.53,115.06,111.68,105.20,109.23,109.77,105.51,109.64,108.08,110.12,109.19,105.78,106.00,101.71,108.55,78.78,56.17,39.44,32.49,24.28,0.00,0.00,32.01,32.85,27.50,29.37,26.87,32.14,34.72,47.65,57.16,76.53,81.26,78.88,70.89,71.63,69.41,65.57,67.99,69.24,74.14,76.90,79.22,80.08,80.00,77.79,59.15,50.49,37.35,32.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.90,47.46,55.41,56.27,58.17,58.16,54.70,55.35,60.36,56.43,67.18,63.53,63.83,35.86,25.21,28.93,25.62,20.28,33.00,29.50,28.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00
Manganese,0.00,29.95,31.75,29.48,28.57,0.00,0.00,0.00,0.00,27.67,37.75,42.47,47.69,46.06,42.73,40.16,42.45,44.80,49.51,56.96,65.61,67.57,97.42,100.60,102.54,101.45,99.89,106.10,101.01,100.98,101.44,101.73,104.23,100.73,100.56,103.61,98.74,96.54,102.89,99.68,96.14,100.48,70.02,49.64,39.22,28.52,23.92,0.00,0.00,27.59,27.56,29.82,26.50,30.02,28.68,28.22,39.40,51.60,66.11,67.08,66.98,59.38,58.38,57.24,58.58,57.62,57.86,59.67,66.24,65.58,67.45,69.92,68.51,61.29,50.52,39.40,34.12,25.93,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,33.34,44.18,56.26,58.33,56.60,54.19,56.51,51.88,57.99,55.08,65.76,60.95,59.06,35.78,27.94,28.16,30.14,27.75,27.64,28.32,26.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manganese,26.12,26.90,33.13,32.72,0.00,0.00,0.00,0.00,0.00,28.53,35.50,48.81,51.87,50.90,45.60,47.02,48.25,50.85,54.34,61.08,70.48,80.00,105.69,109.12,107.30,105.13,105.30,110.68,106.96,101.57,102.87,106.79,110.40,105.52,107.37,113.45,104.76,105.18,108.66,107.62,103.37,105.25,73.64,59.72,47.88,36.46,24.11,0.00,0.00,27.02,25.10,25.00,25.67,0.00,25.00,28.78,41.37,55.09,77.50,78.68,76.73,68.80,68.01,68.64,65.24,71.31,66.24,72.52,77.35,77.11,80.41,75.26,78.78,65.58,55.40,43.79,37.45,32.44,33.67,32.32,32.83,31.44,31.65,32.06,32.65,32.24,34.31,31.93,32.23,30.44,0.00,0.00,0.00,29.99,44.73,45.48,50.79,51.07,56.92,53.71,52.39,53.16,56.93,63.10,64.12,60.38,35.22,32.24,30.00,30.59,32.51,33.09,31.36,28.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manganese,28.00,33.43,37.79,40.90,34.29,0.00,29.90,30.64,34.28,33.33,43.37,50.34,55.45,55.27,49.39,54.64,50.92,50.39,55.52,68.04,70.01,68.07,98.24,97.37,92.82,100.37,96.84,97.45,99.83,103.07,103.01,98.36,100.47,95.77,95.53,109.13,102.38,104.33,103.34,97.31,99.39,96.37,67.25,63.20,43.57,37.55,25.13,0.00,24.94,33.95,38.86,35.04,31.73,34.29,35.41,41.08,45.98,56.89,63.79,66.50,64.95,59.47,64.08,61.09,61.01,58.42,71.41,69.31,76.90,78.25,72.47,78.81,76.29,74.03,61.34,50.02,40.95,38.71,38.72,38.59,36.24,38.44,37.83,36.09,37.81,36.95,35.94,34.82,36.85,30.37,27.22,0.00,25.08,40.99,51.54,62.71,62.08,63.72,59.76,57.83,67.18,59.75,59.04,72.80,72.47,71.99,46.79,40.40,38.00,37.54,38.57,38.64,39.82,36.21,33.50,27.40,30.22,25.00,34.54,33.30,28.38,0.00
Fluorescein,0.00,28.62,24.25,24.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.85,29.01,29.42,31.98,28.02,33.00,32.26,35.38,43.84,66.32,97.42,144.49,146.34,142.73,144.76,135.11,143.14,130.83,127.74,127.46,134.33,133.66,134.03,130.21,130.44,136.88,135.32,136.91,130.10,138.46,131.53,86.85,66.27,52.54,30.65,25.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.67,23.46,29.67,30.90,27.00,29.03,28.81,27.88,32.34,37.85,40.70,41.34,41.82,38.91,37.87,36.61,32.23,32.26,32.90,33.05,31.54,29.50,29.69,29.75,30.02,31.13,32.90,30.22,31.38,28.79,29.20,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fluorescein,0.00,26.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.31,29.37,30.85,28.37,30.72,33.06,32.07,39.02,41.93,62.72,88.23,125.29,125.01,130.76,130.22,122.80,124.77,123.39,113.77,118.52,112.47,125.54,122.11,115.07,123.44,119.39,118.30,123.93,118.55,115.91,122.78,81.44,64.83,47.77,34.72,25.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49,29.33,30.69,30.00,28.16,32.29,29.34,35.17,35.69,41.52,46.48,47.83,45.87,47.29,49.02,44.51,39.25,37.36,35.44,37.52,36.82,32.79,32.14,32.78,34.46,33.43,35.95,34.29,33.71,34.13,34.09,29.75,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fluorescein,0.00,25.00,23.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.49,28.85,27.23,27.78,30.52,30.01,32.96,38.37,39.81,60.59,88.04,134.71,134.87,138.05,138.66,132.87,125.53,121.98,122.61,123.49,120.07,125.82,121.32,120.63,125.21,122.53,119.26,126.38,125.28,120.25,124.47,84.23,56.76,44.47,32.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.10,30.96,30.23,27.77,28.84,30.45,29.29,33.81,30.07,42.42,41.81,48.27,47.92,49.57,48.37,43.73,38.03,34.83,33.37,29.66,32.36,32.44,31.50,31.26,31.54,30.69,31.61,29.26,32.67,32.03,31.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fluorescein,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,27.63,28.01,25.00,31.12,38.73,58.91,91.76,144.83,142.10,141.35,143.62,137.15,133.62,133.63,131.16,135.32,128.75,132.14,132.75,129.02,137.17,133.76,130.59,133.80,131.40,134.31,130.88,84.60,55.96,48.10,31.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.93,29.30,25.00,28.20,26.29,0.00,28.92,29.89,36.82,36.60,43.01,44.29,45.23,47.56,38.08,37.99,35.75,31.67,32.20,32.38,28.63,29.54,32.56,30.51,29.49,31.29,31.59,31.20,29.14,27.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fluorescein,0.00,24.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.77,26.65,27.98,26.94,27.12,27.35,32.63,41.67,62.98,92.20,148.08,150.10,150.91,149.47,143.68,136.75,139.97,132.67,132.86,126.08,137.10,131.84,138.80,123.95,126.08,133.30,134.25,131.15,131.30,133.56,90.43,62.85,50.09,32.99,25.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,25.67,25.00,26.80,24.00,26.22,26.00,27.33,32.76,30.76,33.65,35.73,35.36,35.57,33.15,31.76,31.30,27.47,28.00,27.68,27.50,0.00,0.00,24.78,25.00,0.00,29.00,0.00,29.00,26.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fluorescein,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,28.56,28.58,26.48,29.03,33.91,41.74,58.17,87.67,143.09,146.66,144.05,141.77,142.31,133.16,135.51,132.91,131.96,131.76,135.07,131.60,131.75,128.42,131.33,133.79,135.28,133.13,126.30,126.50,77.81,55.65,37.96,21.39,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.58,32.58,27.12,30.74,30.97,27.79,29.60,30.54,30.22,31.11,37.96,41.99,45.40,42.67,42.56,40.20,36.65,30.68,28.72,25.94,31.19,28.44,27.38,27.16,27.81,28.00,28.26,29.18,27.13,28.48,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
